symbol,lastPrice,pChange
FEDERALBNK,191.29,1.99
HDFCBANK,1678.0,1.64
IDFCFIRSTB,73.13,1.05
BANKBARODA,244.7,0.94
CANBK,105.03,0.93
INDUSINDBK,1359.4,0.88
KOTAKBANK,1898.65,0.86
SBIN,806.25,0.81
PNB,105.47,0.53
ICICIBANK,1228.85,0.48
AXISBANK,1168.95,-0.3
AUBANK,688.15,-0.33
