session,symbol,series,open,dayHigh,dayLow,lastPrice,previousClose,change,pchange,totalTradedVolume,totalTradedValue,lastUpdateTime,exDate
Session 1,EDELWEISS,BL,136.05,136.05,136.05,136.05,137.42,-1.3699999999999761,-0.9969436763207512,1837000,249923850.00000003,25-Sep-2024 08:45:13,17-Sep-2024
Session 1,CAPACITE,BL,396.0,396.0,396.0,396.0,399.95,-3.9499999999999886,-0.9876234529316137,375000,148500000.0,25-Sep-2024 08:53:07,14-Sep-2023
